Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
,Banha,,Gray,gas,"256,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/passat/7013138,Volkswagen,Passat,860000,Used Volkswagen Passat 2014 for sale Banha,automatic,2014
,Ras Sedr,,Silver,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/n300/7013128,Chevrolet,N300,250000,Used Chevrolet N300 2013 for sale Ras Sedr,manual,2013
,Tagamo3 - New Cairo,,Gray,gas,"248,000 Km",https://eg.hatla2ee.com/en/car/opel/insignia/7013067,Opel,Insignia,830000,Used Opel Insignia 2017 for sale Tagamo3 - New Cairo,automatic,2017
Hatchback,Giza,,Silver,diesel,"200,000 Km",https://eg.hatla2ee.com/en/car/mercedes/b-150/7013020,Mercedes,B 150,480000,Mercedes B150 2008 for sale October,automatic,2008
,Nasr city,,Silver,gas,"118,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7012961,Daewoo,Nubira 2,330000,Used Daewoo Nubira 2 2005 for sale Nasr city,automatic,2005
SUV,Alexandria,,Silver,gas,"19,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo-8-Pro/7012894,Chery,Tiggo 8 Pro,1450000,Used Chery Tiggo 8 Pro 2024 for sale Alexandria,automatic,2024
,Nasr city,,Brown,gas,"170,000 Km",https://eg.hatla2ee.com/en/car/byd/f3/7008346,Byd,F3,450000,Used Byd F3 2021 for sale Nasr city,manual,2021
,Tagamo3 - New Cairo,,Dark grey,gas,"74,000 Km",https://eg.hatla2ee.com/en/car/citroen/c3/7012765,Citroën,C3,820000,Used Citroën C3 2022 for sale Tagamo3 - New Cairo,automatic,2022
,Cairo,,Gray,gas,"118,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Xpander/7012691,Mitsubishi,Xpander,985000,Used Mitsubishi Xpander 2019 for sale Cairo,automatic,2019
Hatchback,Tanta,,Silver,gas,"206,000 Km",https://eg.hatla2ee.com/en/car/ford/fiesta/7012638,Ford,Fiesta,450000,Used Ford Fiesta 2014 for sale Tanta,automatic,2014
,Mansoura,,Silver,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7012392,Daewoo,Lanos 2,345000,Used Daewoo Lanos 2 2004 for sale Mansoura,manual,2004
SUV,Heliopolis,,Black,diesel,"188,000 Km",https://eg.hatla2ee.com/en/car/peugeot/2008/7012513,Peugeot,2008,725000,Used Peugeot 2008 2015 for sale Heliopolis,automatic,2015
,Shubra al-Khaimah,,Blue,gas,"151,000 Km",https://eg.hatla2ee.com/en/car/lada/granta/7008105,Lada,Granta,340000,Used Lada Granta 2019 for sale Shubra al-Khaimah,manual,2019
,Cairo,,Silver,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/nissan/sentra/7012408,Nissan,Sentra,650000,Used Nissan Sentra 2017 for sale Cairo,automatic,2017
,Cairo,,White,gas,"400,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/pajero/7012311,Mitsubishi,Pajero,1150000,Used Mitsubishi Pajero 2009 for sale Cairo,automatic,2009
,Alexandria,,Black,gas,"19,900 Km",https://eg.hatla2ee.com/en/car/kia/sportage/7004585,Kia,Sportage,2000000,Used Kia Sportage 2023 for sale Alexandria,automatic,2023
SUV,Shobra,,Red,gas,"125,000 Km",https://eg.hatla2ee.com/en/car/nissan/juke/7012141,Nissan,Juke,600000,Used Nissan Juke 2014 for sale Shobra,automatic,2014
SUV,Al Shorouk,,Petroleum,gas,"192,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo3/7012040,Chery,Tiggo 3,550000,Used Chery Tiggo 3 2017 for sale Al Shorouk,automatic,2017
SUV,Tagamo3 - New Cairo,,Mocha,gas,"101,000 Km",https://eg.hatla2ee.com/en/car/nissan/qashqai/7011962,Nissan,Qashqai,780000,Used Nissan Qashqai 2016 for sale Tagamo3 - New Cairo,automatic,2016
